product_code,used_truck_ids,order_quantity
V053143521,11,56
V053143615,11,57
V053103705,3,3
V053104642,"11,3",72
V053904703,"10,3",72
V065103703,"3,10",3
V065104642,11,56
V065104703,"3,10",54
